name,description,stars,language,forks,url,created_at,updated_at
mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,93312,TypeScript,32124,https://github.com/mui/material-ui,2014-08-18 19:11:54+00:00,2024-09-15 11:13:50+00:00
CosmicMind/Material,A UI/UX framework for creating beautiful applications.,11997,Swift,1263,https://github.com/CosmicMind/Material,2015-08-22 16:21:53+00:00,2024-09-15 05:37:50+00:00
material-components/material-components-android,Modular and customizable Material Design UI components for Android,16252,Java,3055,https://github.com/material-components/material-components-android,2016-12-05 16:11:29+00:00,2024-09-15 07:59:08+00:00
mdbootstrap/mdb-ui-kit,Bootstrap 5 & Material Design UI KIT,24163,SCSS,3527,https://github.com/mdbootstrap/mdb-ui-kit,2014-08-18 11:54:00+00:00,2024-09-15 10:59:06+00:00
material-components/material-components-web,Modular and customizable Material Design UI components for the web,17137,TypeScript,2147,https://github.com/material-components/material-components-web,2016-12-05 16:04:09+00:00,2024-09-15 01:11:25+00:00
mui/material-ui-pickers,Date & Time pickers for Material UI (support from v1 to v4),2321,TypeScript,833,https://github.com/mui/material-ui-pickers,2017-10-07 19:36:16+00:00,2024-09-03 03:48:46+00:00
minimal-ui-kit/material-kit-react,Minimal Dashboard - build with React Material UI components.,2325,TypeScript,1620,https://github.com/minimal-ui-kit/material-kit-react,2021-06-26 15:38:13+00:00,2024-09-15 08:45:56+00:00
museui/muse-ui,Material Design UI library for Vuejs 2.0,8221,Vue,900,https://github.com/museui/muse-ui,2016-09-19 00:51:10+00:00,2024-09-14 06:19:29+00:00
xotahal/react-native-material-ui,Highly customizable material design components for React Native,3779,JavaScript,609,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53+00:00,2024-09-14 23:43:35+00:00
InvexGames/MaterialUI,MaterialUI is a UI kit for Unity that follows Google's official material design guidelines.,771,C#,200,https://github.com/InvexGames/MaterialUI,2014-12-08 13:57:03+00:00,2024-08-27 21:07:18+00:00
mbrn/material-table,Datatable for React based on material-ui's table with additional features,3493,JavaScript,1028,https://github.com/mbrn/material-table,2018-08-06 13:15:08+00:00,2024-09-13 01:57:57+00:00
hperrin/svelte-material-ui,Svelte Material UI Components,3297,Svelte,286,https://github.com/hperrin/svelte-material-ui,2019-07-17 00:36:53+00:00,2024-09-14 02:53:58+00:00
material-components/material-components-ios,[In maintenance mode] Modular and customizable Material Design UI components for iOS,4725,Objective-C,946,https://github.com/material-components/material-components-ios,2015-10-07 14:12:39+00:00,2024-09-15 01:19:44+00:00
creativetimofficial/material-kit," Free and Open Source UI Kit for Bootstrap 5, React, Vue.js, React Native and Sketch based on Google's Material Design",5910,HTML,1350,https://github.com/creativetimofficial/material-kit,2016-03-15 01:07:43+00:00,2024-09-14 19:30:43+00:00
mancj/MaterialSearchBar,Material Design Search Bar for Android,2030,Java,333,https://github.com/mancj/MaterialSearchBar,2016-07-20 13:02:53+00:00,2024-08-19 01:00:54+00:00
devias-io/material-kit-react,"React Dashboard made with Material UI’s components. Our pro template contains features like TypeScript version, authentication system with Firebase and Auth0 plus many other ",5327,TypeScript,2431,https://github.com/devias-io/material-kit-react,2019-05-02 15:25:39+00:00,2024-09-15 09:11:45+00:00
gregnb/mui-datatables,Datatables for React using Material-UI,2703,JavaScript,931,https://github.com/gregnb/mui-datatables,2017-11-04 19:49:44+00:00,2024-09-10 14:08:08+00:00
palexdev/MaterialFX,A library of material components for JavaFX,1175,Java,119,https://github.com/palexdev/MaterialFX,2020-10-15 23:29:06+00:00,2024-09-11 20:04:11+00:00
invertase/react-native-material-design,React Native UI Components for Material Design,3150,JavaScript,365,https://github.com/invertase/react-native-material-design,2015-12-11 15:29:45+00:00,2024-08-23 23:34:55+00:00
mdbootstrap/material-design-for-bootstrap,Important! A new UI Kit version for Bootstrap 5 is available. Access the latest free version via the link below.,9342,JavaScript,1150,https://github.com/mdbootstrap/material-design-for-bootstrap,2016-07-20 07:36:28+00:00,2024-09-13 19:28:30+00:00
